Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,"Address (Building Name/Number, Street)",Postcode,Town/City,County/State,Country,Action,Scheme,Scheme ID
Harvester,9421504929,7617988,7617988,Beulah Hill,SE19 3DS,LONDON,,,A,Harvester,122
Harvester,9421504952,3749983,3749983,Lavernock Road,CF64 5UP,SOUTH GLAMORGAN,,,A,Harvester,122
Harvester,9421242751,1491596,1491596,London Road,SS16 5LD,BASILDON,,,A,Harvester,122
Harvester,9421183187,2410231,2410231,224 Sutton Common Road,SM3 9PW,SURREY,,,A,Harvester,122
Harvester,9421760588,8676488,8676488,Hagley Road,B63 1DQ,HALESOWEN,,,A,Harvester,122
Harvester,9421670399,3507100,3507100,Bath Road,WR5 3HP,WORCESTER,,,A,Harvester,122
Harvester,9421079658,8649964,8649964,81 Old Woking Road,KT14 6JA,SURREY,,,A,Harvester,122
Harvester,9421669250,3736279,3736279,98 Grimstead Lane,BN15 9DP,WEST SUSSEX,,,A,Harvester,122
Harvester,9421401076,1409176,1409176,Brownsover Road,CV21 1HL,WARWICKSHIRE,,,A,Harvester,122
Harvester,9421534082,6723977,6723977,Stratford Rd,B90 4EE,WEST MIDLANDS,,,A,Harvester,122
Harvester,9421026865,8696346,8696346,900 High Road,RM6 4HU,ESSEX,,,A,Harvester,122
Harvester,9421048463,7633183,7633183,36 Addington Village Rd,CR0 5AQ,CROYDON,,,A,Harvester,122
Harvester,9421188558,8634438,8634438,125 Abbs Cross Lane,RM12 4XS,ESSEX,,,A,Harvester,122
Harvester,9421144080,3439635,3439635,Henley Road,B80 7DR,STUDLEY,,,A,Harvester,122
Harvester,9421756693,6515910,6515910,Station Road,B46 1EE,BIRMINGHAM,,,A,Harvester,122
Harvester,9420228421,3098225,3098225,Birmingham Road,B43 7AG,BIRMINGHAM,,,A,Harvester,122
Harvester,9421669318,1181296,1181296,Springfield Road,CM2 6BA,CHELMSFORD,,,A,Harvester,122
Harvester,9421671223,8514630,8514630,Arden Oak Road,B26 3LU,BIRMINGHAM,,,A,Harvester,122
Harvester,9421407206,8694556,8694556,London Road,SS7 5SQ,ESSEX,,,A,Harvester,122
Harvester,9421242173,8650012,8650012,Vera Avenue,N21 1RE,LONDON,,,A,Harvester,122
Harvester,9421803917,4523676,4523676,Stirling Corner,EN5 3JG,HERTS,,,A,Harvester,122
Harvester,9421297292,7418411,7418411,290 Birmingham Road,B60 1JH,BROMSGROVE,,,A,Harvester,122
Harvester,9421671405,7497860,7497860,26 Hagley Road West,B67 5EY,WEST MIDLANDS,,,A,Harvester,122
Harvester,9421671462,1325430,1325430,Watling Street,LE10 2JQ,HINCKLEY,,,A,Harvester,122
Harvester,9421523549,8614075,8614075,338 Bowes Road,N11 1AN,LONDON,,,A,Harvester,122
Harvester,9421113515,1111418,1111418,Beehive Lane,IG4 5DR,ESSEX,,,A,Harvester,122
Harvester,9421113564,1111459,1111459,Straight Road,SL4 2SH,BERKSHIRE,,,A,Harvester,122
Harvester,9421113572,1111467,1111467,London Road,BN1 8YQ,BRIGHTON,,,A,Harvester,122
Harvester,9421113598,1111475,1111475,Boldmere Road,B73 5UP,WEST MIDLANDS,,,A,Harvester,122
Harvester,9421113663,1111483,1111483,323 Malpas Road,NP20 6EP,GWENT,,,A,Harvester,122
Harvester,9421113671,1111509,1111509,London Road,OX33 1JH,OXFORD,,,A,Harvester,122
Harvester,9421669433,1111517,1111517,14 The Avenue,PO14 1NS,HAMPSHIRE,,,A,Harvester,122
Harvester,9421113705,1111525,1111525,556 London Road,TW15 3AF,MIDDLESEX,,,A,Harvester,122
Harvester,9421113721,1111558,1111558,Circle Way East,CF23 9PD,CARDIFF,,,A,Harvester,122
Harvester,9421113754,1111574,1111574,700 Castle Lane West,BH8 9UQ,DORSET,,,A,Harvester,122
Harvester,9421113762,3307618,3307618,286 Southborough Lane,BR2 8AA,KENT,,,A,Harvester,122
Harvester,9421113788,1111608,1111608,126 Bath Road,BS30 9DE,BRISTOL,,,A,Harvester,122
Harvester,9421113960,1112960,1112960,Lingfield Crescent,SE9 2RN,LONDON,,,A,Harvester,122
Harvester,9421113994,1112986,1112986,London Road,MK5 8AF,MILTON KEYNES,,,A,Harvester,122
Harvester,9421114000,1113000,1113000,Epsom Road,SM4 5PJ,SURREY,,,A,Harvester,122
Harvester,9425631165,2280949,2280949,Bury Street,HA4 7TJ,MIDDLESEX,,,A,Harvester,122
Harvester,9421114034,1113042,1113042,101 London Road,CM14 4NP,ESSEX,,,A,Harvester,122
Harvester,9421114091,1113083,1113083,Twyford Road,SO50 4LF,HAMPSHIRE,,,A,Harvester,122
Harvester,9421114125,1113117,1113117,Bagshot Road,RG12 9RB,BERKSHIRE,,,A,Harvester,122
Harvester,9421114141,1113125,1113125,1 High Street,BN26 5HA,EAST SUSSEX,,,A,Harvester,122
Harvester,9421114158,1113133,1113133,Puttenham Heath Road,GU3 1AJ,GUILDFORD,,,A,Harvester,122
Harvester,9421114166,1113141,1113141,London Road,HP9 1UD,BUCKS,,,A,Harvester,122
Harvester,9421114182,1115682,1115682,Guildford Road,GU16 6NR,CAMBERLEY,,,A,Harvester,122
Harvester,9421114224,1115690,1115690,Cribbs Causeway,BS10 7TL,BRISTOL,,,A,Harvester,122
Harvester,9421114273,1115716,1115716,Mandeville Road,UB5 4LU,MIDDLESEX,,,A,Harvester,122
Harvester,9421114299,3993052,3993052,374 London Road,SL3 7HX,SLOUGH,,,A,Harvester,122
Harvester,9421114331,1115740,1115740,Old Castle Road,SP1 3SF,WILTS,,,A,Harvester,122
Harvester,9421114356,1115765,1115765,Pencoed,CF35 5HU,BRIGEND,,,A,Harvester,122
Harvester,9421112442,1115807,1115807,Church Road,KT4 7RD,SURREY,,,A,Harvester,122
Harvester,9421112491,1115823,1115823,390 Maidstone Road,ME8 0HT,KENT,,,A,Harvester,122
Harvester,9421112541,1115880,1115880,105 Dartford Road,DA1 3EP,KENT,,,A,Harvester,122
Harvester,9421112590,1115914,1115914,Amherst Hill,TN13 2EN,KENT,,,A,Harvester,122
Harvester,9421112640,1117241,1117241,London Road,SG1 1XH,HERTS,,,A,Harvester,122
Harvester,9421112657,1117258,1117258,Boston Road,W7 2AX,LONDON,,,A,Harvester,122
Harvester,9421112673,1117266,1117266,Chatham Road,ME14 3AG,MAIDSTONE,,,A,Harvester,122
Harvester,9421112830,1117308,1117308,207 Frenchay Park Road,BS16 1LF,BRISTOL,,,A,Harvester,122
Harvester,9421112855,1117332,1117332,Winchester Road,RG22 6HN,HAMPSHIRE,,,A,Harvester,122
Harvester,9421112970,1117357,1117357,New Ashby Road,LE11 4EX,LEICS,,,A,Harvester,122
Harvester,9421113036,1117381,1117381,High Road,WD23 1JD,BUSHEY,,,A,Harvester,122
Harvester,9421113044,1117399,1117399,250 Maidenhead Road,SL4 5HQ,BERKSHIRE,,,A,Harvester,122
Harvester,9421113051,1117415,1117415,St. Nicolas Park Drive,CV11 6EN,WARWICKSHIRE,,,A,Harvester,122
Harvester,9421110891,3348646,3348646,393-395 High Road,IG8 0XG,ESSEX,,,A,Harvester,122
Harvester,9421668591,3607231,3607231,Canterbury Road,TN24 8QQ,KENT,,,A,Harvester,122
Harvester,9421668658,1725126,1725126,London Road,CO3 8WJ,COLCHESTER,,,A,Harvester,122
Harvester,9421200601,1436708,1436708,1 Arena Approach,BL6 6LB,Bolton,,,A,Harvester,122
Harvester,9421668773,1303031,1303031,1 Clifton Lane,NG11 7AT,NOTTINGHAM,,,A,Harvester,122
Harvester,9421668831,1611847,1611847,Eastern Road,PO3 6QB,PORTSMOUTH,,,A,Harvester,122
Harvester,9421668898,1725100,1725100,54 Brighton Road,RH1 5DA,REDHILL,,,A,Harvester,122
Harvester,9420147555,1638618,1638618,Haslett Avenue East,RH 10 1UJ,CRAWLEY,,,A,Harvester,122
Harvester,9421693524,3098233,3098233,London Road,AL3 8HT,ST. ALBANS,,,A,Harvester,122
Harvester,9421669011,1798511,1798511,Blackbrook Park Avenue,TA1 2PX,SOMERSET,,,A,Harvester,122
Harvester,9421609967,1991496,1991496,Roundhouse Road,DE24 8JE,DERBY,,,A,Harvester,122
Harvester,9421649179,2204618,2204618,Stanley Mathews Way,ST4 8FR,STOKE-ON-TRENT,,,A,Harvester,122
Harvester,9421671827,2622249,2622249,Rochester Road,DA12 4TN,KENT,,,A,Harvester,122
Harvester,9421669078,2622231,2622231,Clockhouse Lane,RM16 5UR,ESSEX,,,A,Harvester,122
Harvester,9421669136,2732956,2732956,Victoria Road,SA4 3AB,SWANSEA,,,A,Harvester,122
Harvester,9421669193,2058824,2058824,29 The Waterfront,BN23 5UZ,EASTBOURNE,,,A,Harvester,122
Harvester,9421671140,2202018,2202018,Orrell Hill Lane,L38 5DA,LIVERPOOL,,,A,Harvester,122
Harvester,9420573040,2834372,2834372,Lower Mill Field,NP4 0RH,PONTYPOOL,,,A,Harvester,122
Harvester,9427662119,3090925,3090925,East Lake Park Tongwell Street,MK15 0SB,MILTON KEYNES,,,A,Harvester,122
Harvester,9421199696,3168903,3168903,46 Harpenden Road,AL3 5AH,ST. ALBANS,,,A,Harvester,122
Harvester,9421113135,2882603,2882603,High Road,SS16 6HU,BASILDON,,,A,Harvester,122
Harvester,9421355686,3585163,3585163,Bath Road,SL6 0AJ,MAIDENHEAD,,,A,Harvester,122
Harvester,9421482431,2882231,2882231,117 Bicester Road,OX5 2PX,KIDLINGTON,,,A,Harvester,122
Harvester,9421487455,2882579,2882579,15 The Boardwalk,PO6 4TP,PORTSMOUTH,,,A,Harvester,122
Harvester,9421192162,2883098,2883098,Oundle Road,PE2 6XE,PETERBOROUGH,,,A,Harvester,122
Harvester,9421448796,2901072,2901072,Princes Road,DA2 6NQ,KENT,,,A,Harvester,122
Harvester,9421874165,3073749,3073749,Alder Road,BH12 4AY,POOLE,,,A,Harvester,122
Harvester,9421461526,2935823,2935823,1 Whichers Gate Road,PO9 6BB,PORTSMOUTH,,,A,Harvester,122
